Timestamp,Temperature,Humidity,Pressure,Rain Sensor,Light Sensor,Wind Speed,Wind Bearing
2025-02-11 09:49:07,18.13,73.6,1025.13,3329,1360,47.0,292.0
2025-02-11 09:49:09,18.13,73.56,1025.12,3344,1393,47.0,292.0
2025-02-11 09:49:11,18.14,73.54,1025.17,3344,1360,47.0,292.0
2025-02-11 09:49:13,18.16,73.54,1025.16,3344,1328,47.0,292.0
2025-02-11 09:49:15,18.17,73.53,1025.15,3329,1425,47.0,292.0
2025-02-11 09:49:17,18.17,73.51,1025.13,3344,1553,47.0,292.0
2025-02-11 09:49:19,18.18,73.47,1025.18,3345,1585,47.0,292.0
2025-02-11 09:49:21,18.18,73.45,1025.16,3345,1553,47.0,292.0
2025-02-11 09:49:23,18.17,73.42,1025.16,3344,1521,47.0,292.0
2025-02-11 09:49:25,18.17,73.41,1025.17,3345,1520,47.0,292.0
2025-02-11 09:49:27,18.16,73.39,1025.15,3345,1568,47.0,292.0
2025-02-11 09:49:29,18.16,73.37,1025.15,3328,1424,47.0,292.0
2025-02-11 09:49:31,18.17,73.35,1025.15,3344,1505,47.0,292.0
2025-02-11 09:49:33,18.18,73.32,1025.14,3344,1473,47.0,292.0
2025-02-11 09:49:35,18.2,73.31,1025.16,3344,1457,47.0,292.0
2025-02-11 09:49:37,18.2,73.29,1025.16,3329,1649,47.0,292.0
2025-02-11 09:49:39,18.21,73.28,1025.11,3328,1681,47.0,292.0
2025-02-11 09:49:41,18.21,73.28,1025.13,3344,1681,47.0,292.0
2025-02-11 09:49:43,18.21,73.28,1025.13,3345,1665,47.0,292.0
2025-02-11 09:49:45,18.21,73.28,1025.13,3329,1648,47.0,292.0
2025-02-11 09:49:47,18.2,73.28,1025.13,3345,1649,47.0,292.0
2025-02-11 09:49:49,18.2,73.27,1025.15,3345,1697,47.0,292.0
2025-02-11 09:49:51,18.19,73.25,1025.14,3345,1760,47.0,294.0
2025-02-11 09:49:53,18.21,73.34,1025.14,3345,1745,47.0,292.0
2025-02-11 09:49:55,18.21,73.42,1025.15,3345,1745,47.0,292.0
2025-02-11 09:49:57,18.22,73.4,1025.12,3345,1713,47.0,292.0
2025-02-11 09:49:59,18.22,73.33,1025.16,3344,1713,47.0,292.0
2025-02-11 09:50:01,18.22,73.29,1025.17,3344,1728,47.0,292.0
2025-02-11 09:50:04,18.23,73.28,1025.15,3328,1296,47.0,292.0
2025-02-11 09:50:06,18.25,73.35,1025.16,3345,1393,47.0,292.0
2025-02-11 09:50:08,18.32,73.49,1025.2,3345,1377,47.0,292.0
2025-02-11 09:50:10,18.35,73.69,1025.19,3344,1392,47.0,292.0
2025-02-11 09:50:12,18.38,73.84,1025.17,3344,1376,47.0,292.0
2025-02-11 09:50:14,18.37,73.88,1025.18,3328,1408,47.0,292.0
2025-02-11 09:50:16,18.38,73.82,1025.2,3345,1457,47.0,292.0
2025-02-11 09:50:18,18.37,73.67,1025.2,3329,1488,47.0,292.0
2025-02-11 09:50:20,18.37,73.57,1025.19,3344,1457,47.0,292.0
2025-02-11 09:50:22,18.38,73.52,1025.16,3344,1425,47.0,292.0
2025-02-11 09:50:24,18.39,73.56,1025.15,3344,1296,47.0,292.0
2025-02-11 09:50:26,18.38,73.59,1025.17,3344,1441,47.0,292.0
2025-02-11 09:50:28,18.4,73.55,1025.15,3360,1473,47.0,292.0
2025-02-11 09:50:30,18.42,73.54,1025.16,3345,1472,47.0,292.0
2025-02-11 09:50:32,18.42,73.44,1025.18,3344,1312,47.0,292.0
2025-02-11 09:50:34,18.43,73.36,1025.18,3344,1264,47.0,292.0
2025-02-11 09:50:36,18.43,73.29,1025.18,3329,864,47.0,292.0
2025-02-11 09:50:38,18.43,73.31,1025.16,3329,1441,47.0,292.0
2025-02-11 09:50:40,18.43,73.27,1025.2,3328,1440,47.0,292.0
2025-02-11 09:50:42,18.43,73.25,1025.2,3344,1377,47.0,292.0
2025-02-11 09:50:44,18.43,73.24,1025.16,3312,1377,47.0,292.0
2025-02-11 09:50:46,18.44,73.22,1025.17,3329,1440,47.0,292.0
2025-02-11 09:50:48,18.42,73.17,1025.16,3344,1441,47.0,292.0
2025-02-11 09:50:50,18.42,73.11,1025.18,3345,1392,47.0,292.0
2025-02-11 09:50:52,18.41,73.09,1025.16,3344,1360,47.0,292.0
2025-02-11 09:50:54,18.4,73.08,1025.17,3328,1361,47.0,292.0
2025-02-11 09:50:56,18.42,73.07,1025.17,3344,1424,47.0,292.0
2025-02-11 09:50:58,18.43,73.06,1025.19,3345,1393,47.0,292.0
2025-02-11 09:51:00,18.42,73.06,1025.19,3345,1441,47.0,292.0
2025-02-11 09:51:02,18.42,73.05,1025.16,3344,1472,47.0,292.0
2025-02-11 09:51:04,18.42,73.07,1025.16,3360,1425,47.0,292.0
2025-02-11 09:51:06,18.42,73.06,1025.19,3344,1424,47.0,292.0
2025-02-11 09:51:08,18.42,73.06,1025.16,3344,1488,47.0,291.0
2025-02-11 09:51:10,18.43,73.07,1025.21,3345,1456,47.0,292.0
2025-02-11 09:51:12,18.49,73.34,1025.2,3345,1424,47.0,292.0
2025-02-11 09:51:14,18.47,73.44,1025.19,3328,1440,47.0,292.0
2025-02-11 09:51:16,18.47,73.36,1025.17,3345,1489,47.0,292.0
2025-02-11 09:51:18,18.49,73.48,1025.21,3344,1472,47.0,292.0
2025-02-11 09:51:20,18.53,73.63,1025.17,3345,1440,47.0,292.0
2025-02-11 09:51:22,18.54,73.76,1025.18,3345,1425,47.0,292.0
2025-02-11 09:51:24,18.56,73.91,1025.19,3345,1457,47.0,292.0
2025-02-11 09:51:26,18.56,73.94,1025.21,3345,1472,47.0,292.0
2025-02-11 09:51:28,18.58,74.02,1025.2,3296,1472,47.0,292.0
2025-02-11 09:51:30,18.6,74.16,1025.21,3344,1440,47.0,292.0
